,price,area,Bedrooms,Bathrooms,type_of_building,location
0,5500000.0,1146.0,2.0,2.0,Flat,"Ahinsa Khand 1, Ghaziabad"
1,6500000.0,1375.0,3.0,2.0,Flat,"Ahinsa Khand 1, Ghaziabad"
2,8000000.0,1605.0,3.0,3.0,Flat,"Ahinsa Khand 1, Ghaziabad"
3,7200000.0,1725.0,3.0,3.0,Individual House,"Ahinsa Khand 1, Ghaziabad"
4,6000000.0,1130.0,2.0,2.0,Flat,"Ahinsa Khand 1, Ghaziabad"
5,5900000.0,960.0,2.0,2.0,Flat,"Ahinsa Khand 1, Ghaziabad"
6,12500000.0,1836.0,3.0,3.0,Flat,"Ahinsa Khand 1, Ghaziabad"
7,8500000.0,1350.0,3.0,2.0,Flat,"Ahinsa Khand 1, Ghaziabad"
8,8000000.0,1593.0,3.0,3.0,Flat,"Ahinsa Khand 1, Ghaziabad"
9,7500000.0,1200.0,2.0,2.0,Flat,"Ahinsa Khand 1, Ghaziabad"
10,7500000.0,1080.0,2.0,2.0,Flat,"Ahinsa Khand 1, Ghaziabad"
11,4500000.0,1000.0,2.0,2.0,Flat,"Ahinsa Khand 2, Ghaziabad"
12,8000000.0,1800.0,3.0,2.0,Flat,"Ahinsa Khand 2, Ghaziabad"
13,7000000.0,1595.0,3.0,2.0,Flat,"Ahinsa Khand 2, Ghaziabad"
14,7000000.0,1665.0,3.0,2.0,Flat,"Ahinsa Khand 2, Ghaziabad"
15,10000000.0,2150.0,4.0,4.0,Flat,"Ahinsa Khand 2, Ghaziabad"
16,6700000.0,1665.0,3.0,2.0,Flat,"Ahinsa Khand 2, Ghaziabad"
17,8300000.0,1975.0,3.0,3.0,Flat,"Ahinsa Khand 2, Ghaziabad"
18,8000000.0,1635.0,2.0,2.0,Individual House,"Ahinsa Khand 2, Ghaziabad"
19,7750000.0,1550.0,2.0,2.0,Flat,"Ahinsa Khand 2, Ghaziabad"
20,3400000.0,810.0,2.0,2.0,Individual House,"Ahinsa Khand 2, Ghaziabad"
21,8000000.0,1550.0,3.0,2.0,Flat,"Ahinsa Khand 2, Ghaziabad"
22,4700000.0,1073.0,2.0,2.0,Flat,"Ahinsa Khand 2, Ghaziabad"
23,7000000.0,1550.0,3.0,2.0,Individual House,"Ahinsa Khand 2, Ghaziabad"
24,6000000.0,1300.0,2.0,2.0,Flat,"Ahinsa Khand 2, Ghaziabad"
25,5500000.0,1205.0,2.0,2.0,Flat,"Ahinsa Khand 2, Ghaziabad"
26,7200000.0,1635.0,3.0,2.0,Flat,"Ahinsa Khand 2, Ghaziabad"
27,8500000.0,1897.0,3.0,3.0,Flat,"Ahinsa Khand 2, Ghaziabad"
